Тип,Підтип,Бенефіціар,Інвестор,Країна,Найменування суб'єкта госпощдарювання,Область,Район,"Потужність, МВт","Дата встановлення ""Зеленого тарифу""",Місяць,Квартал,Рік,Зелений Тариф ЕЦ,% надбавки,Тариф+ надбавка,Дата встановлення надбавки,Січ.17,Лют.17,Бер.17,Кві.17,Тра.17,Чер.17,Лип.17,Сер.17,Вер.17,Жов.17,Лис.17,Гру.17,Січ.18,Лют.18,Бер.18,Кві.18,Тра.18,Чер.18,Лип.18,Сер.18,Вер.18,Жов.18,Лис.18,Гру.18,Січ.19,Лют.19,Бер.19,Кві.19,Тра.19,Чер.19,Лип.19,Сер.19,1,2,3,4,5,6,7,8,9,10,11,12,Всього
ВЕС,unknown,Карл Стурен,Windcraft,Швеція,"ТОВ ""ВІНДКРАФТ УКРАЇНА""",Херсонська ,Скадовський,9.225,2012-01-01,1.0,1,2012.0,0.1131,0.0,0.1131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.496468840118,2732.7233719385367,3025.5151617890942,2356.858459058408,2171.5816113000446,2020.7115213352022,1495.652557874886,2006.72457909331,2101.5305915806885,2435.4204076936885,3031.2468083307385,3467.62007267324,30430.08161150795
ВЕС,unknown,Карл Стурен,Windcraft,Швеція,"ТОВ ""ВІНДКРАФТ УКРАЇНА""",Херсонська ,Каланчацький,9.225,2014-02-06,2.0,1,2014.0,0.1131,0.0,0.1131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.496468840118,2732.7233719385367,3025.5151617890942,2356.858459058408,2171.5816113000446,2020.7115213352022,1495.652557874886,2006.72457909331,2101.5305915806885,2435.4204076936885,3031.2468083307385,3467.62007267324,30430.08161150795
ВЕС,unknown,Карл Стурен,Windcraft,Швеція,"ТОВ ""ВІНДКРАФТ УКРАЇНА""",Херсонська ,Новотроїцький,3.6,2019-01-11,1.0,1,2019.0,0.1018,0.0,0.1018,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1398.8278902790703,1066.4286329516242,1180.6888436250124,919.7496425593788,847.4464824585541,788.5703497893472,583.6692908780043,783.1120308656818,820.1094991534393,950.4079639780247,1182.925583738825,1353.2175893358985,11875.153799612859
ВЕС,unknown,Карл Стурен,Windcraft,Швеція,"ТОВ ""ВІНДКРАФТ УКРАЇНА""",Херсонська ,Новотроїцький,64.8,2019-03-19,3.0,1,2019.0,0.1018,0.0,0.1018,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25178.902025023264,19195.715393129234,21252.399185250222,16555.493566068817,15254.03668425397,14194.26629620825,10506.047235804077,14096.016555582273,14761.970984761909,17107.343351604446,21292.660507298846,24357.916608046173,213752.7683930315
ВЕС,unknown,,,,"ВЕО ""Вітроенергопром""",Донецька ,Новоазовський,30.53,2009-08-01,8.0,3,2009.0,0.1131,0.0,0.1131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ВЕС,unknown,Єфімов,,Україна,"ТОВ ""ВІТРЯНИЙ ПАРК БЛАГОДАТНИЙ""",Миколаївська ,Очаківський ,5.0,2017-07-25,7.0,3,2017.0,0.1131,0.0,0.1131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.302,1.7439999999999998,1.4739999999999998,2.085000000000001,1.757,1.474,1.683,1.444,1.131,0.828,0.77,1.053,1.145,1.854,1.467,1.703,1.771,1.413,1.767,0.944,0.887,1.132,1.048,1.166,1942.8165142764865,1481.150879099478,1639.845616145851,1277.4300591102483,1177.0090034146583,1095.2365969296488,810.6517928861172,1087.655598424558,1139.0409710464435,1320.01106108059,1642.9521996372569,1879.4688740776369,16493.269166128972
ВЕС,unknown,Єфімов,,Україна,"ТОВ ""ВІТРЯНИЙ ПАРК БЛАГОДАТНИЙ""",Миколаївська ,Очаківський ,4.5,2019-10-24,10.0,4,2019.0,0.1018,0.1,0.112,2019-10-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1748.5348628488377,1333.0357911895303,1475.8610545312658,1149.6870531992236,1059.3081030731926,985.7129372366842,729.5866135975053,978.8900385821024,1025.1368739417992,1188.009954972531,1478.6569796735312,1691.521986669873,14843.942249516076
ВЕС,unknown,Єфімов,,Україна,"ТОВ ""ВІТРЯНИЙ ПАРК БЛАГОДАТНИЙ""",Миколаївська ,Очаківський ,4.8,2020-01-28,1.0,1,2020.0,0.1018,0.1,0.112,2020-01-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1865.1038537054267,1421.9048439354988,1574.2517915000165,1226.3328567458384,1129.9286432780718,1051.427133052463,778.2257211706723,1044.1493744875756,1093.4793322045857,1267.2106186373662,1577.2341116517664,1804.290119114531,15833.538399483812
ВЕС,unknown,Єфімов,,Україна,"ТОВ ""Вітряний парк Краснодонський""",Луганська ,Краснодонський,25.0,2013-08-15,8.0,3,2013.0,0.1131,0.0,0.1131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ВЕС,unknown,Єфімов,,Україна,"ТОВ ""Вітряний парк Лутугинський""",Луганська ,Лутугинський,25.0,2014-02-27,2.0,1,2014.0,0.1131,0.0,0.1131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
